nombreDeAtributo,descripcion,tipoDeDato,informacionAdicional
Id persona,Identificador único por persona ,String,Se mantiene el mismo id persona en cada año lectivo en los que fue reportado por el sistema educativo púbico en algún momento del año.
Sexo,"La identificación del sexo especificada en este elemento de datos se refiere exclusivamente al
sexo de nacimiento desde el punto de vista administrativo, comúnmente usado en los trámites
generales del Estado.",String,"Valor permitido: ""Femenino"",""Masculino"", ""Sin Dato"" "
Rol,Corresponde al rol con el que fue reportado por las interfases de los subsistemas educativos en cada año lectivo,String,"Valor permitido: ""Estudiante"" "
Departamento,Nombre del departamento donde está ubicado el centro educativo público en el que la persona fue reportada por el sistema educativo en cada año lectivo.,String,"Valor permitido: ""Artigas"",""Canelones"",""Cerro Largo"",""Colonia"",""Durazno"",""Flores"",""Florida"",""Lavalleja"",""Maldonado"",""Montevideo"",""Paysandu"",""Río Negro"",""Rivera"",""Rocha"",""Salto"",""San Jose"",""Soriano"",""Tacuarembo"",""Treinta y Tres"" "
Subsistema,"Corresponde a la Dirección General de Educación en la que fue reportada la persona con el rol indicado en algún momento del año, para cada año lectivo.",String,"Valor permitido: ""DGEIP"" (Dirección General de Educación Inicial y Primaria), ""DGES"" (Dirección General de Educación Secundaria),""DGETP"" (Dirección General de Educación Técnico Profesional)"
Ciclo ,"Identificación del ciclo educativo de acuerdo a la definición de ANEP u otras
clasificaciones internas de Ceibal dentro de un subsistema educativo para cada año lectivo.",String,"Para cada uno de los Subsistemas, la oferta educativa se abre en ciclos, cuyo funcionamiento difiere en la estructura de las materias, pedagogía y edades de los estudiantes en cada uno de ellos. Valores permitidos por ejemplo: - Para DGEIP (Inicial, Primaria, Primaria Especial, entre otros), para DGES (Ciclo Básico, Bachillerato), para DGETP (Ciclo Básico Tecnológico, Articulacion Educacion Media Basica, entre otros) "
Grado,Grado educativo en que los estudiantes participan dentro del ciclo de un plan de una Dirección General Educativa.,String,"Se considerara para cada Dirección General de Educación y ciclo. En DGEIP los valores permitidos dependen de cada Ciclo: 
-Inicial: Nivel 3, Nivel 4, Nivel 5, para 
-Primaria y Primaria Especial de 1° a 6°. Primaria Especial además toma otros valores como ""Apoyo Itinerante"",""Ocupacional"", entre otros. 
-Educación Media Rural toma valores 7,8, o 9. 
-En DGES, Ciclo Básico toma valores 1, 2, 3 y Bachillerato 4, 5, 6. 
-En DGETP, cada ciclo educativo tiene grados distintos por semestres y cursos. En en el año toma valores 0 a 3, 1ero, entre otros. "
Zona,Refiere a la ubicación geográfica e indica si una escuela pública se encuentra en un área rural o urbana. Dato definido por CODICEN.,String,"Este dato se cuenta para los casos de centros educativos de DGEIP, los valores permitidos son ""Urbana"", ""Rural"", ""Sin Dato"". En el caso de DGES y DGETP el valor que toma es ""Sin Dato"" por no contar con el mismo para estos casos. "
Contexto,Atributo que registra la división del total de escuelas públicas en 5 grupos de igual cantidad de modo que el Quintil 1 agrupa al 20% de las escuelas de contexto más vulnerable y el Quintil 5 al 20% de las de contexto menos vulnerable. Esta clasificación se hace por separado para los conjuntos de escuelas urbanas y rurales.,String,"Este dato se cuenta para los casos de centros educativos de DGEIP, los valores permitidos son para cada zona ""Quintil Rural 1"" al ""Quintil Rural 5"", ""Quintil Urbano 1"" al ""Quintil Urbano 5"", ""Sin Clasificar"",""Sin Dato"",""Sin Datos"". En el caso de DGES y DGETP el valor que toma es ""Sin Dato"" o ""Sin Datos"" por no contar con el mismo para estos casos. "
Año lectivo,Año lectivo en el que fue reportado por algún subsistema educativo con el rol indicado.,String,"Valor permitido: ""2019"",""2020"",""2021"",""2022"""
